order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,late_delivery,latency_days,weekend,EGP Rate,item_id,product_id,quantity,list_price_x,discount,list_price_egp,product_name,brand_id,category_id,model_year,list_price_y,category_name
1,259,4,2016-01-01,2016-01-03 00:00:00.000000000,2016-01-03 00:00:00.000000000,1,2,False,,True,47.924824,1.0,20,1,599.99,0.2,28754.41515176,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,Cruisers Bicycles
2,1212,4,2016-01-01,2016-01-04 00:00:00.000000000,2016-01-03 00:00:00.000000000,2,6,False,,True,47.924824,1.0,20,1,599.99,0.07,28754.41515176,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,Cruisers Bicycles
3,523,4,2016-01-02,2016-01-05 00:00:00.000000000,2016-01-03 00:00:00.000000000,2,7,False,,True,47.924824,2.0,20,1,599.99,0.05,28754.41515176,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,Cruisers Bicycles
13,873,4,2016-01-08,2016-01-11 00:00:00.000000000,2016-01-11 00:00:00.000000000,2,6,False,,True,47.924824,3.0,20,2,599.99,0.1,28754.41515176,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,Cruisers Bicycles
17,1175,4,2016-01-12,2016-01-14 00:00:00.000000000,2016-01-14 00:00:00.000000000,1,3,False,,False,47.924824,4.0,20,2,599.99,0.2,28754.41515176,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,Cruisers Bicycles
35,813,4,2016-01-22,2016-01-25 00:00:00.000000000,2016-01-24 00:00:00.000000000,2,7,False,,True,47.924824,2.0,20,2,599.99,0.05,28754.41515176,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,Cruisers Bicycles
51,1047,4,2016-02-01,2016-02-02 00:00:00.000000000,2016-02-03 00:00:00.000000000,2,7,True,1.0,False,47.924824,2.0,20,1,599.99,0.05,28754.41515176,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,Cruisers Bicycles
56,1241,4,2016-02-04,2016-02-06 00:00:00.000000000,2016-02-07 00:00:00.000000000,2,6,True,1.0,True,47.924824,1.0,20,2,599.99,0.07,28754.41515176,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,Cruisers Bicycles
70,50,3,2016-02-11,2016-02-11 00:00:00.000000000,2016-02-12 23:36:52.290502793,3,9,True,1.0,False,47.924824,3.0,20,1,599.99,0.05,28754.41515176,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,Cruisers Bicycles
77,385,4,2016-02-16,2016-02-19 00:00:00.000000000,2016-02-19 00:00:00.000000000,1,2,False,,False,47.924824,1.0,20,1,599.99,0.07,28754.41515176,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,Cruisers Bicycles
83,393,4,2016-02-19,2016-02-20 00:00:00.000000000,2016-02-20 00:00:00.000000000,1,3,False,,False,47.924824,1.0,20,1,599.99,0.2,28754.41515176,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,Cruisers Bicycles
87,516,4,2016-02-21,2016-02-22 00:00:00.000000000,2016-02-23 00:00:00.000000000,2,6,True,1.0,False,47.924824,1.0,20,2,599.99,0.2,28754.41515176,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,Cruisers Bicycles
