order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,extract_time,source
1,259,4,2016-01-01,2016-01-03 00:00:00.000000000,2016-01-03 00:00:00.000000000,1,2,2024-04-30 13:07:13.382187,postgres
2,1212,4,2016-01-01,2016-01-04 00:00:00.000000000,2016-01-03 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres
3,523,4,2016-01-02,2016-01-05 00:00:00.000000000,2016-01-03 00:00:00.000000000,2,7,2024-04-30 13:07:13.382187,postgres
4,175,4,2016-01-03,2016-01-04 00:00:00.000000000,2016-01-05 00:00:00.000000000,1,3,2024-04-30 13:07:13.382187,postgres
5,1324,4,2016-01-03,2016-01-06 00:00:00.000000000,2016-01-06 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres
13,873,4,2016-01-08,2016-01-11 00:00:00.000000000,2016-01-11 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres
14,258,4,2016-01-09,2016-01-11 00:00:00.000000000,2016-01-12 00:00:00.000000000,1,3,2024-04-30 13:07:13.382187,postgres
15,450,4,2016-01-09,2016-01-10 00:00:00.000000000,2016-01-12 00:00:00.000000000,2,7,2024-04-30 13:07:13.382187,postgres
16,552,4,2016-01-12,2016-01-15 00:00:00.000000000,2016-01-15 00:00:00.000000000,1,3,2024-04-30 13:07:13.382187,postgres
17,1175,4,2016-01-12,2016-01-14 00:00:00.000000000,2016-01-14 00:00:00.000000000,1,3,2024-04-30 13:07:13.382187,postgres
18,541,4,2016-01-14,2016-01-17 00:00:00.000000000,2016-01-15 00:00:00.000000000,1,3,2024-04-30 13:07:13.382187,postgres
19,696,4,2016-01-14,2016-01-17 00:00:00.000000000,2016-01-16 00:00:00.000000000,1,2,2024-04-30 13:07:13.382187,postgres
20,923,4,2016-01-14,2016-01-16 00:00:00.000000000,2016-01-17 00:00:00.000000000,1,2,2024-04-30 13:07:13.382187,postgres
21,1250,4,2016-01-15,2016-01-16 00:00:00.000000000,2016-01-18 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres
