order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,extract_time,source,late_delivery,latency_days,weekend
1,259,4,2016-01-01,2016-01-03 00:00:00.000000000,2016-01-03 00:00:00.000000000,1,2,2024-04-30 13:07:13.382187,postgres,False,,True
2,1212,4,2016-01-01,2016-01-04 00:00:00.000000000,2016-01-03 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres,False,,True
3,523,4,2016-01-02,2016-01-05 00:00:00.000000000,2016-01-03 00:00:00.000000000,2,7,2024-04-30 13:07:13.382187,postgres,False,,True
4,175,4,2016-01-03,2016-01-04 00:00:00.000000000,2016-01-05 00:00:00.000000000,1,3,2024-04-30 13:07:13.382187,postgres,True,1.0,False
5,1324,4,2016-01-03,2016-01-06 00:00:00.000000000,2016-01-06 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres,False,,False
13,873,4,2016-01-08,2016-01-11 00:00:00.000000000,2016-01-11 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres,False,,True
14,258,4,2016-01-09,2016-01-11 00:00:00.000000000,2016-01-12 00:00:00.000000000,1,3,2024-04-30 13:07:13.382187,postgres,True,1.0,False
15,450,4,2016-01-09,2016-01-10 00:00:00.000000000,2016-01-12 00:00:00.000000000,2,7,2024-04-30 13:07:13.382187,postgres,True,2.0,False
16,552,4,2016-01-12,2016-01-15 00:00:00.000000000,2016-01-15 00:00:00.000000000,1,3,2024-04-30 13:07:13.382187,postgres,False,,False
17,1175,4,2016-01-12,2016-01-14 00:00:00.000000000,2016-01-14 00:00:00.000000000,1,3,2024-04-30 13:07:13.382187,postgres,False,,False
18,541,4,2016-01-14,2016-01-17 00:00:00.000000000,2016-01-15 00:00:00.000000000,1,3,2024-04-30 13:07:13.382187,postgres,False,,False
19,696,4,2016-01-14,2016-01-17 00:00:00.000000000,2016-01-16 00:00:00.000000000,1,2,2024-04-30 13:07:13.382187,postgres,False,,False
20,923,4,2016-01-14,2016-01-16 00:00:00.000000000,2016-01-17 00:00:00.000000000,1,2,2024-04-30 13:07:13.382187,postgres,True,1.0,True
21,1250,4,2016-01-15,2016-01-16 00:00:00.000000000,2016-01-18 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres,True,2.0,True
22,1035,4,2016-01-16,2016-01-18 00:00:00.000000000,2016-01-17 00:00:00.000000000,1,2,2024-04-30 13:07:13.382187,postgres,False,,True
23,1149,4,2016-01-16,2016-01-19 00:00:00.000000000,2016-01-19 00:00:00.000000000,1,2,2024-04-30 13:07:13.382187,postgres,False,,False
24,636,4,2016-01-18,2016-01-20 00:00:00.000000000,2016-01-19 00:00:00.000000000,2,7,2024-04-30 13:07:13.382187,postgres,False,,False
25,657,4,2016-01-18,2016-01-21 00:00:00.000000000,2016-01-21 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres,False,,False
26,1280,4,2016-01-18,2016-01-21 00:00:00.000000000,2016-01-19 00:00:00.000000000,2,7,2024-04-30 13:07:13.382187,postgres,False,,False
27,57,4,2016-01-19,2016-01-21 00:00:00.000000000,2016-01-20 00:00:00.000000000,2,7,2024-04-30 13:07:13.382187,postgres,False,,False
28,252,4,2016-01-19,2016-01-20 00:00:00.000000000,2016-01-21 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres,True,1.0,False
29,437,4,2016-01-20,2016-01-22 00:00:00.000000000,2016-01-21 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres,False,,False
30,1348,4,2016-01-20,2016-01-21 00:00:00.000000000,2016-01-21 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres,False,,False
31,1238,4,2016-01-20,2016-01-22 00:00:00.000000000,2016-01-22 00:00:00.000000000,3,8,2024-04-30 13:07:13.382187,postgres,False,,False
32,1259,4,2016-01-21,2016-01-24 00:00:00.000000000,2016-01-22 00:00:00.000000000,1,3,2024-04-30 13:07:13.382187,postgres,False,,False
33,236,4,2016-01-21,2016-01-22 00:00:00.000000000,2016-01-22 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres,False,,False
34,80,4,2016-01-22,2016-01-25 00:00:00.000000000,2016-01-23 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres,False,,False
35,813,4,2016-01-22,2016-01-25 00:00:00.000000000,2016-01-24 00:00:00.000000000,2,7,2024-04-30 13:07:13.382187,postgres,False,,True
36,1321,4,2016-01-23,2016-01-24 00:00:00.000000000,2016-01-24 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres,False,,True
37,164,4,2016-01-25,2016-01-28 00:00:00.000000000,2016-01-26 00:00:00.000000000,2,6,2024-04-30 13:07:13.382187,postgres,False,,False
38,583,4,2016-01-25,2016-01-27 00:00:00.000000000,2016-01-26 00:00:00.000000000,2,7,2024-04-30 13:07:13.382187,postgres,False,,False
